title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
True or False: A Product Owner can solely decide to release an Increment to the market without consulting the Developers. (Choose the best answer),The Product Owner should collaborate with the Developers to ensure the Increment meets the Definition of Done before release. <i>Scrum Guide 2020</i>,TF,pspo-I,Concepts,,Incorrect: The release decision should consider the readiness of the Increment as defined by the team.,,Correct: Releasing an Increment should be a collaborative decision involving both the Product Owner and Developers.,,,,,,,,,false
A critical bug is discovered mid-Sprint that impacts the product’s core functionality. What should the Product Owner do? (Choose the best answer),The Product Owner should work with the Developers to address critical bugs immediately to maintain product quality and stakeholder confidence. <i>“Developers are responsible for turning Product Backlog items into Increments of value each Sprint.” Scrum Guide 2020</i>,S,pspo-I,Concepts,Wait until the next Sprint to address the bug.,Incorrect: Critical bugs impacting core functionality should be addressed immediately.,Work with the Developers to address the bug within the current Sprint.,Correct: Addressing critical issues promptly ensures the product remains functional and reliable.,Defer the bug fix to a later release if the team is busy.,Incorrect: Deferring a critical fix can lead to greater risks and stakeholder dissatisfaction.,Reassign the bug fix to a separate team to avoid disrupting the Sprint.,Incorrect: Managing work across separate teams can lead to communication issues and inconsistency.,,,,,2
The Developers are consistently not meeting the Definition of Done for completed items. What is the first step the Product Owner should take? (Choose the best answer),"The Product Owner should work with the Developers to understand and address issues related to the Definition of Done, ensuring that quality standards are consistently met. <i>“If a Product Backlog item does not meet the Definition of Done, it cannot be released.” Scrum Guide 2020</i>",S,pspo-I,Concepts,Adjust the Definition of Done to match the team’s current capabilities.,Incorrect: Lowering the Definition of Done undermines the quality standards of the product.,Collaborate with the Developers to understand why they are struggling to meet the Definition of Done.,Correct: Identifying and addressing the root causes helps improve adherence to quality standards.,Remove incomplete items from the Product Backlog to reduce the workload.,Incorrect: Removing items without addressing the underlying issues does not solve the problem.,Ignore the issue and focus on getting more items done.,Incorrect: Focusing on quantity over quality compromises the product’s value and integrity.,,,,,2
Which two actions help ensure that the Development Team adheres to the Definition of Done? (Choose the two best answers),Adhering to the Definition of Done involves regularly reviewing it during refinement and using it as a guideline to ensure quality throughout the development process. <i>“The Definition of Done creates transparency by providing everyone a shared understanding of what work was completed.” Scrum Guide 2020</i>,M,pspo-I,Concepts,Conducting regular reviews of the Definition of Done during Backlog Refinement sessions.,Correct: Reviewing the Definition of Done helps ensure it remains relevant and that the team consistently applies it.,Incorporating the Definition of Done as a checklist during development and testing.,Correct: Using the Definition of Done as a checklist helps the team maintain focus on quality and completeness.,Allowing the Product Owner to approve work before it is marked done.,Incorrect: The Definition of Done defines when work is complete; it is not based on Product Owner approval.,Revising the Definition of Done whenever work becomes too challenging.,Incorrect: The Definition of Done should not be compromised for convenience; it is a standard of quality.,Skipping Retrospectives if work meets the Definition of Done.,"Incorrect: Retrospectives are essential for continuous improvement and should not be skipped, regardless of the outcome.",,,"1,2"
Which three practices help maintain high transparency in the Scrum Team’s work? (Choose the three best answers),"Maintaining transparency involves regularly updating the Product Backlog, conducting Sprint Reviews, and using tools like Task Boards to visualize progress. <i>“Scrum’s artifacts represent work or value and are designed to maximize transparency of key information.” Scrum Guide 2020</i>",M,pspo-I,Concepts,Regularly updating the Product Backlog based on feedback.,Correct: Keeping the Product Backlog current ensures everyone understands the most valuable and up-to-date work items.,Conducting frequent Sprint Reviews with stakeholders.,Correct: Sprint Reviews provide transparency about the Increment and gather valuable feedback.,Using a visible Task Board to track progress in real-time.,"Correct: A Task Board helps the team and stakeholders see the status of work, enhancing visibility and communication.",Skipping Daily Scrums if progress is on track.,Incorrect: Daily Scrums are essential for maintaining transparency and should not be skipped.,Limiting communication to only planned meetings.,"Incorrect: Effective communication should be ongoing, not limited to formal meetings.",,,"1,2,3"
"During a Daily Scrum, the Developers identify a new risk that might impact the Sprint Goal. What is the best action for the Scrum Master? (Choose the best answer)","The Scrum Master should facilitate the discussion, helping the Developers find the best approach to address the risk while keeping focus on the Sprint Goal. <i>“The Scrum Master is accountable for the Scrum Team’s effectiveness.” Scrum Guide 2020</i>",S,pspo-I,Daily Scrum,Direct the team on how to handle the risk immediately.,Incorrect: The Scrum Master facilitates but does not dictate how the team manages risks.,Facilitate a discussion to help the team decide the best approach to manage the risk.,"Correct: The Scrum Master facilitates the team's decision-making process, enabling them to handle risks effectively.",Ignore the risk to maintain focus on the current plan.,Incorrect: Risks should be addressed promptly to avoid impacting the Sprint Goal.,Ask the Product Owner to adjust the Sprint Goal to accommodate the risk.,Incorrect: Adjusting the Sprint Goal should be a last resort; the team should first explore ways to manage the risk.,,,,,2
The Scrum Master observes that the team is not using the Daily Scrum effectively. What should the Scrum Master do? (Choose the best answer),"The Scrum Master should coach the team on using the Daily Scrum effectively, helping them to inspect progress and adapt their work plan as necessary. <i>“The Scrum Master ensures that the event takes place and that attendees understand its purpose.” Scrum Guide 2020</i>",S,pspo-I,Daily Scrum,Take over the Daily Scrum to ensure it is run correctly.,Incorrect: The Scrum Master facilitates but does not lead the Daily Scrum.,Coach the team on how to use the Daily Scrum to inspect and adapt their progress toward the Sprint Goal.,Correct: The Scrum Master should guide the team to optimize the Daily Scrum to support their self-management.,Ignore the issue to respect the team's autonomy.,"Incorrect: Providing guidance is part of the Scrum Master’s role, especially when team practices can be improved.",Ask the Product Owner to attend and observe the Daily Scrum.,Incorrect: The Daily Scrum is for the Developers; involvement of others should only add value.,,,,,2
True or False: The Developers are responsible for ensuring that the Product Backlog is refined. (Choose the best answer),"Refinement is led by the Product Owner but involves the entire Scrum Team, particularly the Developers, to ensure items are actionable. <i>“Product Backlog refinement is the act of adding detail, estimates, and order to items in the Product Backlog.” Scrum Guide 2020</i>",TF,pspo-I,Product Backlog Management,,"Incorrect: Product Backlog refinement is a collaborative effort led by the Product Owner, with Developers involved.",,"Correct: The Product Owner leads the refinement process, ensuring items are clear and ready for the team.",,,,,,,,,false
True or False: The Product Owner must be available to answer questions about Product Backlog items during the Sprint. (Choose the best answer),The Product Owner plays a key role in clarifying Product Backlog items and should be available to support the Developers throughout the Sprint. <i>“The Product Owner is accountable for maximizing the value of the product resulting from the work of the Scrum Team.” Scrum Guide 2020</i>,TF,pspo-I,Product Backlog Management,,"Correct: The Product Owner should be available to clarify items, ensuring the team understands what needs to be delivered.",,Incorrect: The Product Owner’s availability is crucial to ensuring that the team has the information needed to work efficiently.,,,,,,,,,true
Which two strategies should the Product Owner use when prioritizing the Product Backlog? (Choose the two best answers),"Effective prioritization involves balancing value, urgency, and strategic alignment, with the Product Owner making informed decisions to guide the Scrum Team. <i>“The Product Owner is accountable for effective Product Backlog management.” Scrum Guide 2020</i>",M,pspo-I,Product Backlog Management,Prioritize based solely on stakeholder requests.,"Incorrect: While stakeholder input is valuable, prioritization must also consider business value, risk, and strategic alignment.",Order items by potential business value to maximize impact.,Correct: Prioritizing by business value ensures the most impactful work is completed first.,Consider the cost of delay when ordering items.,Correct: The cost of delay helps determine which items are most urgent and important to complete.,Delegate prioritization to the team for technical decisions.,"Incorrect: The Product Owner is responsible for prioritizing the Backlog based on overall value, not technical decisions.",Focus on completing low-effort items first for quick wins.,Incorrect: Prioritizing low-effort items does not necessarily align with maximizing value.,,,"2,3"
