title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
True or False: The Product Owner is responsible for ensuring that the Developers adhere to the Definition of Done. (Choose the best answer),"The Definition of Done is a shared commitment within the Scrum Team, but it is the Developers who are responsible for adhering to it during the creation of Increments. <i>“The Developers are required to conform to the Definition of Done.” Scrum Guide 2020</i>",TF,pspo-I,Concepts,,Incorrect: The Developers are responsible for adhering to the Definition of Done.,,Correct: The Developers are responsible for ensuring that the work meets the Definition of Done.,,,,,,,,,false
"During the Sprint, a major bug is identified that significantly affects the product’s performance. What should the Product Owner do? (Choose the best answer)",The Product Owner should collaborate with the Developers to prioritize and address critical bugs within the current Sprint to ensure product quality. <i>“Developers are responsible for turning Product Backlog items into Increments of value each Sprint.” Scrum Guide 2020</i>,S,pspo-I,Concepts,Delay the bug fix to the next Sprint to keep the current Sprint on track.,Incorrect: Critical bugs should be addressed immediately to maintain product quality.,Work with the Developers to prioritize and fix the bug within the current Sprint.,Correct: Addressing critical issues promptly ensures the product remains functional and reliable.,Ignore the bug to focus on new features.,Incorrect: Ignoring critical issues compromises the product’s integrity and stakeholder trust.,Ask the Scrum Master to handle the bug fix with the team.,"Incorrect: While the Scrum Master facilitates, the Product Owner manages prioritization in the Product Backlog.",,,,,2
The team is struggling to meet the Definition of Done consistently. What should the Product Owner do? (Choose the best answer),"The Product Owner should work with the Developers to understand why the Definition of Done is not being met and collaborate on solutions, ensuring the product maintains high quality. <i>“If a Product Backlog item does not meet the Definition of Done, it cannot be released.” Scrum Guide 2020</i>",S,pspo-I,Concepts,Lower the Definition of Done to match the team's current performance level.,Incorrect: Lowering the Definition of Done undermines product quality and does not address the root cause.,Collaborate with the Developers to identify and address issues preventing adherence to the Definition of Done.,Correct: Working with the team fosters a problem-solving approach to maintaining quality standards.,Ignore the issue as long as some value is delivered.,Incorrect: Ignoring quality issues compromises the product and erodes stakeholder trust.,Shift focus to quantity over quality to meet deadlines.,Incorrect: Prioritizing speed over quality contradicts the principles of Scrum.,,,,,2
Which three practices support the Scrum Team in maintaining high transparency? (Choose the three best answers),"Transparency is maintained through visible tools like Task Boards, regular Sprint Reviews, and keeping the Product Backlog current and clear for all team members and stakeholders. <i>“Transparency enables inspection. Inspection without transparency is misleading and wasteful.” Scrum Guide 2020</i>",M,pspo-I,Concepts,Using a Task Board to visualize work in progress.,"Correct: A Task Board helps the team and stakeholders see the status of tasks at a glance, promoting transparency.",Conducting regular Sprint Reviews with stakeholders.,"Correct: Sprint Reviews allow the team to showcase completed work and gather feedback, ensuring visibility of progress.",Maintaining a clear and current Product Backlog.,Correct: An up-to-date Product Backlog provides transparency about what work is planned and prioritized.,Keeping discussions private among team members only.,"Incorrect: Transparency requires open communication and visibility to stakeholders, not closed discussions.",Skipping Sprint Retrospectives if everything is on track.,Incorrect: Retrospectives are vital for continuous improvement and should always be conducted.,,,"1,2,3"
Which three factors contribute most to the Scrum Team’s ability to self-manage effectively? (Choose the three best answers),"Self-management is supported by a clear Sprint Goal, cross-functional skills, and open communication within the team, enabling them to collaborate and adapt effectively. <i>“Self-managing teams choose who, how, and when their work gets done.” Scrum Guide 2020</i>",M,pspo-I,Concepts,A clear understanding of the Sprint Goal and its importance.,Correct: Knowing the Sprint Goal helps the team stay focused and make decisions that align with their objectives.,Cross-functional skills within the team.,Correct: Cross-functionality ensures the team has all necessary skills to complete the work without outside help.,Open communication and a culture of mutual respect.,Correct: Open communication and respect enable the team to collaborate effectively and manage their own work.,Direct supervision from the Scrum Master.,Incorrect: The Scrum Team is self-managing and does not require direct supervision from the Scrum Master.,Detailed task assignments by the Product Owner.,Incorrect: The Scrum Team decides how to accomplish their work and does not rely on task assignments from the Product Owner.,,,"1,2,3"
"During the Daily Scrum, the Developers discuss a new approach to achieving the Sprint Goal. How should the Product Owner respond? (Choose the best answer)","The Developers should use the Daily Scrum to inspect and adapt their progress, adjusting their approach as necessary to meet the Sprint Goal. <i>“The Daily Scrum is used to inspect progress toward the Sprint Goal and adapt the Sprint Backlog as necessary.” Scrum Guide 2020</i>",S,pspo-I,Daily Scrum,Intervene and ensure the team sticks to the original plan.,Incorrect: The Developers are empowered to adjust their approach during the Sprint to achieve the Sprint Goal.,Encourage the team to adapt their plan as needed to stay focused on the Sprint Goal.,Correct: The Daily Scrum is for the Developers to inspect progress and adapt their work plan to meet the Sprint Goal.,Ask the Scrum Master to prevent changes to the plan mid-Sprint.,Incorrect: The Scrum Master facilitates but does not control the team's planning adjustments.,Ignore the discussion as it is outside the Product Owner’s responsibilities.,Incorrect: The Product Owner should remain engaged to understand progress and support as needed.,,,,,2
"During the Daily Scrum, the Developers identify a dependency that might delay their progress. What should the Product Owner do? (Choose the best answer)","The Product Owner should collaborate with the Developers to assess and manage dependencies, ensuring that they do not impede progress toward the Sprint Goal. <i>“The Daily Scrum is used to inspect progress toward the Sprint Goal and adapt the Sprint Backlog as necessary.” Scrum Guide 2020</i>",S,pspo-I,Daily Scrum,Ask the Scrum Master to resolve the dependency independently.,Incorrect: The Product Owner should collaborate with the team to address dependencies impacting value delivery.,Work with the Developers to assess the impact of the dependency and adjust the Product Backlog if necessary.,Correct: Managing dependencies proactively helps the team stay aligned with the Sprint Goal and adjust priorities if needed.,Ignore the dependency as it is a technical issue for the Developers to manage.,Incorrect: Dependencies that impact value delivery require active management and adjustment of priorities by the Product Owner.,Delay action until the next Sprint Planning session to reassess priorities.,Incorrect: Addressing dependencies promptly is crucial to maintaining progress and value delivery.,,,,,2
True or False: The Product Owner must be available to answer questions about Product Backlog items during the Sprint. (Choose the best answer),The Product Owner plays a key role in clarifying Product Backlog items and should be available to support the Developers throughout the Sprint. <i>“The Product Owner is accountable for maximizing the value of the product resulting from the work of the Scrum Team.” Scrum Guide 2020</i>,TF,pspo-I,Product Backlog Management,,"Correct: The Product Owner should be available to clarify items, ensuring the team understands what needs to be delivered.",,Incorrect: The Product Owner’s availability is crucial to ensuring that the team has the information needed to work efficiently.,,,,,,,,,true
True or False: The Scrum Master is responsible for deciding the order of items in the Product Backlog. (Choose the best answer),"The Product Owner is accountable for managing the Product Backlog, including prioritizing items to maximize value. <i>“The Product Owner is the sole person responsible for managing the Product Backlog.” Scrum Guide 2020</i>",TF,pspo-I,Product Backlog Management,,Incorrect: The Product Owner is responsible for ordering the Product Backlog based on value and priorities.,,Correct: The Product Owner manages the order of items in the Product Backlog based on value considerations.,,,,,,,,,false
Which two strategies should the Product Owner use to ensure the Product Backlog remains relevant and aligned with market needs? (Choose the two best answers),The Product Owner should regularly engage stakeholders and use data-driven prioritization to keep the Product Backlog aligned with market needs and value delivery. <i>“The Product Owner is accountable for maximizing the value of the product resulting from the work of the Scrum Team.” Scrum Guide 2020</i>,M,pspo-I,Product Backlog Management,Only update the Backlog during formal Scrum events like Sprint Planning and Reviews.,"Incorrect: The Product Backlog should be continuously updated based on new information, not just during formal events.",Regularly engage with stakeholders to gather insights and adjust the Backlog.,Correct: Continuous engagement helps ensure the Backlog reflects the latest market needs and stakeholder feedback.,Use data-driven prioritization to focus on high-value items.,Correct: Data-driven decisions help prioritize items that deliver the most value and align with business goals.,Ignore minor feedback to maintain Backlog stability.,Incorrect: All feedback should be considered to keep the Backlog adaptable and aligned with evolving needs.,Delegate Backlog updates to the Developers to maintain focus on high-priority tasks.,Incorrect: The Product Owner is responsible for managing and updating the Product Backlog.,,,"2,3"
