title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
What is the most effective way to reduce ambiguity when prompting a Large Language Model?,"Reducing ambiguity is one of the primary goals of effective prompting. Explicit instructions and expected outputs help the model generate more reliable responses. <i>Provide clear, specific instructions with context.</i><br><a href='https://platform.openai.com/docs/guides/prompt-engineering' target='_blank'>Source</a>",S,PSM-AI,Effective AI Prompting,Specify exactly what information is required and how it should be presented.,Clear instructions and an explicit output expectation reduce uncertainty and improve response quality.,Use intentionally broad wording to encourage flexible interpretation.,Broad wording increases the risk of inconsistent or irrelevant answers.,Rely on the model to infer any missing details.,LLMs perform better when important information is explicitly provided.,Avoid describing the expected output format.,"Without an expected format, outputs are more likely to vary.",,,,,1
When is zero-shot prompting least reliable for generating Scrum-related outputs?,"Zero-shot prompting is most limited when the expected output depends on a specific pattern, template, or team convention that has not been provided. <i>Zero-shot prompting relies on internal training knowledge and cannot infer team-specific formats.</i><br><a href='https://platform.openai.com/docs/guides/prompt-engineering' target='_blank'>Source</a>",S,PSM-AI,Effective AI Prompting,When the output must follow a format the model has not been shown.,"Without examples, the model may produce a plausible answer that does not match the required structure.",When the prompt includes a clear task description.,A clear task description generally improves zero-shot prompting.,When the Scrum Team asks for a short response.,Short responses can be generated with zero-shot prompts.,When the topic is familiar to the model.,Familiar topics may still be handled reasonably well in zero-shot prompting.,,,,,1
An AI tool produces a code quality report for each Product Backlog item. What should the Scrum Team do before using it to support Done decisions?,"The question tests whether AI is treated as decision support rather than as the owner of quality. The Scrum Team may use AI-generated evidence, but the Increment is only Done when it satisfies the agreed quality measures. <i>The moment a Product Backlog item meets the Definition of Done, an Increment is born.</i><br><a href='https://www.scrum.org/resources/scrum-guide' target='_blank'>Source</a>",S,PSM-AI,AI for Scrum Masters,Validate how the report relates to the Definition of Done and keep human accountability for the decision.,"AI reports may support inspection, but the Scrum Team must decide whether the Increment meets the Definition of Done.",Use the AI report as the only evidence that the item is Done.,One automated report is not enough unless it satisfies all quality measures in the Definition of Done.,Let the Product Owner override the Definition of Done when the report looks positive.,The Product Owner cannot redefine Done item by item based on AI output.,Ask the AI to rewrite the Definition of Done after each Sprint.,"The Definition of Done should be inspected and adapted by people, not delegated entirely to AI.",,,,,1
Which option describes the broadest responsible AI concern for a Scrum Team adopting AI tools?,"The question evaluates whether responsible AI is understood as a multidimensional concern. A Scrum Team should not reduce AI ethics to convenience, speed, or tone. <i>Using AI responsibly and ethically is mandatory to prevent harm, ensure fairness, and maintain public trust.</i><br><a href='https://www.scrum.org/resources/blog/responsible-ethical-ai' target='_blank'>Source</a>",S,PSM-AI,AI Ethic and Security,"The team must consider bias, data protection, transparency, and human accountability.",This answer covers several major ethical dimensions rather than focusing on only one issue.,The team must mainly ensure the AI tool is fast enough for daily work.,"Speed can be useful, but it is not the broadest responsible AI concern.",The team must focus only on whether the AI output sounds professional.,"A professional tone does not make AI output ethical, safe, or reliable.",The team must ensure AI is used in every Scrum event to maximize adoption.,Broad adoption does not address ethical use or risk management.,,,,,1
A Scrum Master wants to use AI before a difficult stakeholder alignment session. What is the best use of AI?,"This question evaluates whether AI is used to strengthen preparation rather than control the group. A Scrum Master may use AI to explore facilitation approaches, but the session must remain human-led and inclusive. <i>I'm facilitating a cross-cultural session—what icebreakers promote psychological safety?</i><br><a href='https://www.scrum.org/resources/blog/chatgpt-prompt-library-facilitators' target='_blank'>Source</a>",S,PSM-AI,AI for Scrum Masters,"Ask AI for agenda ideas, facilitation techniques, and risks to consider before the session.",This keeps AI in a supporting role while the Scrum Master remains responsible for facilitation.,Ask AI to predict which stakeholder is most likely to resist and isolate them.,This may create bias and damage trust before the workshop even begins.,Ask AI to replace the facilitator so the discussion appears neutral.,AI cannot take accountability for facilitation quality or group dynamics.,Ask AI to generate the final alignment statement without stakeholder input.,"Alignment requires real participation, not a pre-written conclusion.",,,,,1
An AI dashboard publicly compares each Developer's output and the team becomes less open during the Daily Scrum. What is the best response?,This question evaluates whether the Scrum Master can identify that AI-supported measurement may damage openness and psychological safety. The responsible action is to inspect the practice with the team rather than normalize surveillance. <i>Keeping psychological safety high is a must.</i><br><a href='https://www.scrum.org/resources/blog/ai-enhanced-sprint-retrospective-part-4-4' target='_blank'>Source</a>,S,PSM-AI,AI for Scrum Masters,"Raise the issue with the Scrum Team and inspect whether the dashboard harms transparency, safety, and collaboration.",The Scrum Master should help the team examine whether the AI dashboard supports or damages effective Scrum.,Ask quieter Developers to speak more so the dashboard appears less harmful.,This treats the symptom rather than addressing the tool's effect on psychological safety.,Continue using the dashboard because public metrics increase accountability.,Public individual metrics may create fear and reduce openness rather than improve accountability.,Ask the AI vendor to hide the lowest scores without changing the practice.,Hiding some data does not resolve the underlying trust and collaboration issue.,,,,,1
Which capability would most clearly distinguish AGI from today's narrow AI systems?,"This question checks whether the learner understands that AGI is about general intellectual capability, not simply fluency, speed, or scale. Current AI may be useful, but it is not equivalent to broad human-level intelligence. <i>potential form of AI</i><br><a href='https://www.scrum.org/resources/blog/20-ai-keywords-agile-professionals-must-know' target='_blank'>Source</a>",S,PSM-AI,AI Theory and Primer,The ability to transfer learning and reasoning across many unrelated intellectual domains.,"AGI would require broad generalization beyond a single task, tool, or domain-specific capability.",The ability to generate fluent text in response to a prompt.,Fluent text generation can be produced by narrow generative AI and does not prove AGI.,The ability to classify data faster than a human specialist.,Speed and classification accuracy can exist in narrow AI systems.,The ability to use a larger context window than previous models.,"A larger context window improves capacity, but it does not establish general intelligence.",,,,,1
A Scrum Master wants team members to reuse prompts for different facilitation situations. What is the best approach?,"This question evaluates whether the Scrum Master can make prompting a shared team capability. A reusable prompt library improves consistency because team members can access, adapt, and improve common templates. <i>Prompt Library for Facilitators</i><br><a href='https://www.scrum.org/resources/blog/chatgpt-prompt-library-facilitators' target='_blank'>Source</a>",S,PSM-AI,Effective AI Prompting,Create a shared prompt library with categorized templates and editable variables.,"A categorized library makes prompts easier to find, reuse, and adapt across facilitation contexts.",Ask everyone to save prompts privately in their own notes.,Private storage prevents shared learning and reduces consistency.,Use only one universal prompt for all facilitation needs.,"One prompt is unlikely to fit different facilitation goals, contexts, and team dynamics.",Ask the AI to remember the team's preferred prompts without documenting them.,Relying on model memory is unreliable and weakens transparency for the team.,,,,,1
A Scrum Team proposes feeding stakeholder interview transcripts into an AI assistant. What should be done first?,"This question evaluates whether the learner can apply responsible AI principles before using stakeholder data. AI may support analysis, but personal or sensitive information should not be processed without purpose, consent, and minimization. <i>Responsible & Ethical AI</i><br><a href='https://www.scrum.org/resources/blog/responsible-ethical-ai' target='_blank'>Source</a>",S,PSM-AI,AI Ethic and Security,"Clarify the intended use, remove unnecessary sensitive information, and confirm consent before processing.","The team should protect stakeholder information and ensure AI use is transparent, limited, and justified.",Upload the transcripts first and review privacy issues only if the AI produces useful insights.,"Privacy and consent should be addressed before processing the data, not after value is proven.",Ask the AI assistant to identify which parts of the transcripts are sensitive after upload.,Sensitive information should be minimized before the data is shared with the tool.,Keep the transcripts in the tool permanently to improve future responses.,Permanent storage increases risk and may exceed the original purpose of collection.,,,,,1
A manager wants an AI system to automatically distribute Sprint work to Developers according to their skill profiles. What should the Scrum Master challenge first?,"This question evaluates whether the Scrum Master can distinguish helpful AI support from harmful delegation of team accountability. Automatic assignment may reduce collaboration and turn the Sprint Backlog into a management-controlled work queue. <i>The A3 Framework: Assist, Automate, Avoid - A Decision System for AI Delegation</i><br><a href='https://www.scrum.org/resources/blog/a3-framework-assist-automate-avoid-decision-system-ai-delegation' target='_blank'>Source</a>",S,PSM-AI,AI for Scrum Masters,Whether the system removes the Developers' ability to self-manage the Sprint Backlog.,The Scrum Master should challenge practices that replace team decision-making with automated assignment.,Whether the AI system can connect to the organization's workflow tool.,"Integration is an implementation concern, not the main Scrum risk.",Whether the AI system can create more detailed work descriptions.,More detail does not solve the risk of replacing self-management.,Whether the AI system can estimate individual capacity accurately.,Individual capacity estimates may reinforce assignment control rather than team ownership.,,,,,1
A Scrum Master wants AI support for assessing delivery risks in a complex Sprint. Which prompting technique is most suitable?,This question evaluates whether Chain-of-Thought is understood as useful for complex reasoning. Risk analysis benefits from structured reasoning because the Scrum Team needs to inspect assumptions before acting. <i>Encouraging the model to break down its reasoning</i><br><a href='https://www.scrum.org/resources/blog/10-prompt-engineering-techniques-super-simple-explanation' target='_blank'>Source</a>,S,PSM-AI,Effective AI Prompting,Instruct the model to analyze the situation step by step before recommending actions.,Step-by-step prompting helps structure the analysis and makes the recommendation easier to inspect.,Ask for the shortest possible answer to avoid overthinking the risk.,A very short answer may miss important dependencies or assumptions.,Ask the model to respond with maximum creativity and no constraints.,"Risk assessment requires disciplined reasoning, not unconstrained creativity.",Use a role-based prompt and assume the model's judgment becomes authoritative.,"A role prompt may help perspective, but the Scrum Team still needs to inspect the output.",,,,,1
