title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
What prompt characteristic most improves the likelihood of receiving a response that matches the user's expectations?,"High-quality prompts clearly communicate the objective, provide sufficient context, and define the expected outcome. These elements help the model generate responses that are relevant, accurate, and easier to use. <i>Provide clear, specific instructions with context.</i><br><a href='https://platform.openai.com/docs/guides/prompt-engineering' target='_blank'>Source</a>",S,PSM-AI,Effective AI Prompting,"Clearly defining the objective, context, and desired outcome.","Explicit objectives, relevant context, and a defined outcome reduce ambiguity and guide the model toward the intended response.",Using broad questions that allow the model to determine the objective.,Broad questions increase ambiguity and make responses less predictable.,"Adding as much information as possible, even if it is unrelated.",Irrelevant information can distract the model from the user's real objective.,Avoiding constraints so the model can respond more creatively.,Removing constraints often reduces consistency and increases output variability.,,,,,1
What is the primary weakness of zero-shot prompting when a Scrum Team expects a very specific output structure?,"Zero-shot prompting can be useful for simple tasks, but it becomes weaker when the expected format is specific and has not been demonstrated. <i>Zero-shot prompting relies on internal training knowledge and cannot infer team-specific formats.</i><br><a href='https://platform.openai.com/docs/guides/prompt-engineering' target='_blank'>Source</a>",S,PSM-AI,Effective AI Prompting,The model may not infer the team's expected format without examples.,"Zero-shot prompting provides no examples, so the model must infer the structure from instructions alone.",It requires the model to be retrained before every request.,Zero-shot prompting does not require retraining the model.,It prevents the use of clear instructions in the prompt.,Zero-shot prompting can still include clear instructions.,It only works when the task is unrelated to Scrum.,"Zero-shot prompting can be used for Scrum-related tasks, but it may lack team-specific precision.",,,,,1
The Developers start using AI-generated test cases without changing the Definition of Done. What should the Scrum Team do?,"This question checks whether the Scrum Team understands that AI-assisted testing must still support transparency and product quality. AI may help create tests, but the team remains responsible for ensuring that the Increment meets the Definition of Done. <i>The Definition of Done is a formal description of the state of the Increment when it meets the quality measures required for the product.</i><br><a href='https://www.scrum.org/resources/scrum-guide' target='_blank'>Source</a>",S,PSM-AI,AI for Scrum Masters,"Inspect whether the Definition of Done should include human review, AI traceability, and relevant quality checks.",The team should make the impact of AI transparent and ensure the Increment still meets agreed quality expectations.,Accept AI-generated tests as sufficient when they pass automatically.,Passing AI-generated tests alone does not prove the Increment meets the Definition of Done.,Allow the AI tool to decide when the Increment is Done.,"AI can assist, but it cannot take accountability for the Increment or the Definition of Done.",Avoid discussing the change until defects appear in production.,Waiting for production issues weakens transparency and inspection.,,,,,1
Which set best represents key ethical concerns when using AI in an organization?,"This question checks whether the learner can distinguish broad ethical AI risks from technical or operational concerns. Ethical AI requires attention to fairness, privacy, transparency, explainability, and accountability. <i>Using AI responsibly and ethically is mandatory to prevent harm, ensure fairness, and maintain public trust.</i><br><a href='https://www.scrum.org/resources/blog/responsible-ethical-ai' target='_blank'>Source</a>",S,PSM-AI,AI Ethic and Security,"Bias, privacy, transparency, explainability, and accountability.","These concerns cover fairness, responsible data use, understandable outputs, and responsibility for harm.","Latency, interface design, model size, and storage cost.","These are technical or operational concerns, not the broadest ethical concerns.","Automation speed, output length, prompt style, and formatting quality.",These affect usability but do not represent the main ethical risk areas.,"Vendor pricing, licensing terms, deployment time, and user training.","These may matter for adoption, but they do not capture the core ethical issues of AI.",,,,,1
You are preparing a workshop with stakeholders who have conflicting views. What is the most effective and responsible way to use AI?,"This question checks whether the Scrum Master understands AI as facilitation support, not as a replacement for human judgment or stakeholder participation. Responsible use means using AI to prepare options while safeguarding the purpose and psychological safety of the workshop. <i>I'm facilitating a cross-cultural session—what icebreakers promote psychological safety?</i><br><a href='https://www.scrum.org/resources/blog/chatgpt-prompt-library-facilitators' target='_blank'>Source</a>",S,PSM-AI,AI for Scrum Masters,"Use AI to explore facilitation options while you remain accountable for purpose, inclusion, and psychological safety.","AI can support preparation, but the Scrum Master must preserve human facilitation, trust, and responsible participation.",Let AI select the final decision to reduce stakeholder conflict.,AI should not replace stakeholder discussion or human accountability for decisions.,Replace difficult stakeholders with AI-generated personas to avoid tension.,Simulated personas cannot replace real stakeholder participation and may weaken transparency.,Use AI to monitor every participant and privately score their contribution.,Surveillance-style use can damage trust and psychological safety.,,,,,1
Team morale decreases after an AI tool starts ranking Developers by individual productivity. What should the Scrum Master do?,"This question checks whether the Scrum Master treats AI productivity metrics as something to inspect through the lens of trust, collaboration, and team effectiveness. Individual AI ranking can undermine Scrum if it weakens self-management or creates fear. <i>the antithesis of the Scrum environment</i><br><a href='https://www.scrum.org/resources/blog/do-we-need-rewrite-scrum-age-ai' target='_blank'>Source</a>",S,PSM-AI,AI for Scrum Masters,"Facilitate a team conversation to inspect the tool's impact on trust, collaboration, and self-management.",The Scrum Master should help the Scrum Team inspect how the AI tool affects the team system and adapt its use responsibly.,Encourage Developers to improve their individual ranking to restore confidence.,This reinforces individual competition and does not address trust or collaboration concerns.,Ask management to use the ranking only during performance reviews.,This keeps the harmful dynamic and shifts the issue outside the Scrum Team's inspection.,Remove every AI tool immediately and prohibit future experiments.,"A blanket ban may ignore useful AI applications, the team should inspect and adapt responsibly.",,,,,1
Which statement best explains why Artificial General Intelligence has not yet been achieved?,"This question tests the difference between powerful AI systems and true AGI. A model may perform impressive tasks, but AGI would require general capability across intellectual domains, not only narrow or trained patterns. <i>any intellectual task</i><br><a href='https://www.scrum.org/resources/blog/20-ai-keywords-agile-professionals-must-know' target='_blank'>Source</a>",S,PSM-AI,AI Theory and Primer,Current AI systems do not reliably generalize and reason across unrelated domains like humans.,"AGI implies broad, flexible capability across intellectual tasks, while current systems remain limited and task-bounded.",AGI has not been achieved because AI systems cannot process natural language.,"Many current systems can process natural language, but that does not make them generally intelligent.",AGI has already been achieved when an LLM can answer questions fluently.,Fluent language output is not the same as broad human-level general intelligence.,AGI only requires storing enough examples of every possible human task.,"AGI is not merely a storage problem, it requires broad transfer and reasoning across domains.",,,,,1
What practice best improves consistency when a Scrum Team shares prompts for retrospectives?,"This question checks whether the learner understands that prompt consistency comes from reusable structures, not from copying one-off prompts. A shared library with placeholders helps the Scrum Team reuse prompts while adapting them to each retrospective. <i>Prompt Library for Facilitators</i><br><a href='https://www.scrum.org/resources/blog/chatgpt-prompt-library-facilitators' target='_blank'>Source</a>",S,PSM-AI,Effective AI Prompting,Use reusable prompt templates with clear placeholders for team-specific context.,Templates with placeholders create a repeatable structure while allowing the team to adapt the prompt to each situation.,Let each team member create prompts independently to preserve personal style.,Independent prompting may increase variation and reduce consistency across the team.,Copy the longest previous prompt for every retrospective.,A long prompt is not necessarily reusable or relevant to a new context.,Store only the AI-generated outputs instead of the prompts.,"Outputs may be useful, but they do not help the team reproduce the prompting approach consistently.",,,,,1
A Scrum Team wants to upload all Sprint Retrospective recordings into an AI tool for future analysis. What is the most appropriate policy?,"This question checks whether the learner understands that AI use involving meeting data requires responsible data governance. The safest policy is to define why the data is collected, obtain informed consent, minimize sensitive information, and limit retention. <i>Responsible & Ethical AI</i><br><a href='https://www.scrum.org/resources/blog/responsible-ethical-ai' target='_blank'>Source</a>",S,PSM-AI,AI Ethic and Security,"Define a clear purpose, obtain informed consent, minimize sensitive data, and set a retention period.",This approach limits unnecessary data exposure and ensures the team uses AI in a responsible and transparent way.,Store all recordings indefinitely because they may be useful for future team analysis.,Indefinite storage increases privacy risk and does not respect data minimization or purpose limitation.,Allow the AI vendor to decide which recordings should be retained.,The Scrum Team and organization remain responsible for data governance and cannot delegate the policy entirely to the vendor.,Remove participant names after uploading the recordings to reduce privacy concerns.,"Anonymizing after upload is too late and does not address consent, purpose, or retention.",,,,,1
An AI tool suggests assigning Sprint Backlog items to Developers based on past performance data. What is the most important concern to raise?,"This question checks whether the learner recognizes that AI should support the Scrum Team rather than replace its ability to manage its own work. An AI assignment tool can look efficient while weakening team ownership, collaboration, and shared accountability. <i>The A3 Framework: Assist, Automate, Avoid - A Decision System for AI Delegation</i><br><a href='https://www.scrum.org/resources/blog/a3-framework-assist-automate-avoid-decision-system-ai-delegation' target='_blank'>Source</a>",S,PSM-AI,AI for Scrum Masters,The tool may undermine the Scrum Team's self-management by deciding who does what work.,The main risk is that the tool shifts work ownership away from the Developers and weakens their ability to manage their own work.,The tool may require too much configuration before Sprint Planning.,"Configuration effort may matter, but it is not the most important Scrum concern.",The Product Owner may disagree with the AI's technical assignment logic.,The Product Owner orders the Product Backlog but does not assign Sprint Backlog work to Developers.,The AI may produce assignments faster than the team can review them.,Review speed is secondary to the risk of removing self-management.,,,,,1
