title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
True or False: The Definition of Done ensures that each Increment meets the agreed quality standards before it is considered complete. (Choose the best answer),"The Definition of Done establishes the shared quality standards for each Increment, ensuring that all completed work meets the agreed criteria. <i>The Definition of Done helps Scrum Teams improve quality by clarifying what’s needed for each Increment.</i> (Scrum Guide 2020)",TF,PSM-I,Concepts,,Correct: The Definition of Done sets the minimum quality criteria that each Increment must meet to be considered complete.,,Incorrect: The Definition of Done is specifically designed to define the criteria for completed work and ensure quality standards are met.,,,,,,,,,true
True or False: The Definition of Done should be adjusted frequently during Sprints to accommodate changing quality standards. (Choose the best answer),"The Definition of Done should be adjusted during Retrospectives, not during ongoing Sprints, to ensure stable quality standards. <i>The Definition of Done creates transparency by providing everyone a shared understanding of what work was completed.</i> (Scrum Guide 2020)",TF,PSM-I,Concepts,,Incorrect: The Definition of Done should be stable during Sprints and revised thoughtfully outside of active work periods.,,"Correct: The Definition of Done should be reviewed and adjusted during Sprint Retrospectives, not within ongoing Sprints.",,,,,,,,,false
Which three practices can help the Scrum Team to enhance the quality of the Increment? (Choose the three best answers),"Enhancing the Increment’s quality involves updating the Definition of Done, using feedback sessions, and implementing automated testing. <i>The Definition of Done helps Scrum Teams improve quality by clarifying what’s needed for each Increment.</i> (Scrum Guide 2020)",M,PSM-I,Concepts,Regularly updating the Definition of Done as the team learns and improves.,Correct: An evolving Definition of Done reflects continuous improvement in quality standards.,Having the Scrum Master inspect the Increment regularly.,"Incorrect: The Developers are responsible for quality; the Scrum Master facilitates, not inspects.",Conducting frequent collaborative reviews and feedback sessions.,Correct: Regular reviews help identify issues early and improve quality.,Using automated testing to verify work meets the Definition of Done.,Correct: Automated testing ensures that the Increment meets quality standards efficiently.,Documenting every change in detail before implementation.,Incorrect: Excessive documentation can slow down progress without adding significant value.,,,"1,3,4"
Which three elements should be included in the Definition of Done? (Choose the three best answers),"The Definition of Done sets quality standards, includes compliance criteria, and establishes testing requirements to ensure completed work meets agreed standards. <i>The Definition of Done helps Scrum Teams improve quality by clarifying what’s needed for each Increment.</i> (Scrum Guide 2020)",M,PSM-I,Concepts,A checklist of daily tasks for each Developer.,Incorrect: The Definition of Done is not a task list; it sets quality standards.,Quality standards that must be met for work to be considered complete.,Correct: The Definition of Done includes all quality criteria that define completeness.,Compliance with relevant regulations and organizational standards.,Correct: The Definition of Done often includes adherence to regulations and standards.,The Product Owner’s sign-off on completed work.,"Incorrect: The Definition of Done focuses on quality, not individual approvals.",Agreed criteria for testing and validating completed work.,Correct: Testing and validation ensure the work meets quality and completeness standards.,,,"1,3,5"
Which two actions can help a Scrum Team maintain a consistent focus on quality throughout the Sprint? (Choose the two best answers),Regularly reviewing the Definition of Done and integrating quality checks into Daily Scrums help ensure consistent focus on quality throughout the Sprint. <i>The Definition of Done helps ensure that quality standards are met consistently.</i> (Scrum Guide 2020),M,PSM-I,Concepts,Assigning a specific team member to be responsible for quality control.,"Incorrect: Quality is a collective responsibility, not an individual role within the Scrum Team.",Regularly reviewing the Definition of Done during refinement sessions to ensure it reflects current standards.,Correct: Regular reviews of the Definition of Done help maintain and improve quality standards.,Including quality checks as part of the Daily Scrum discussions to identify and address potential issues early.,Correct: Discussing quality during Daily Scrums helps the team stay aware of standards and address issues promptly.,Deferring all quality checks to the end of the Sprint to save time.,"Incorrect: Deferring quality checks increases the risk of defects and rework, impacting the Sprint Goal.",Reducing the Definition of Done criteria to make completion easier.,Incorrect: Lowering standards compromises product quality and stakeholder trust.,,,"1,3"
A Scrum Team is struggling with low velocity and wants to improve. What actions should they consider? (Choose the three best answers),"Improving velocity involves refining the Product Backlog, continuously inspecting and adapting processes, and enhancing team collaboration. <i>The Scrum Team’s inspect-and-adapt practices help them continuously improve.</i> (Scrum Guide 2020)",M,PSM-I,Concepts,Add more Developers to increase capacity.,Incorrect: Adding team members may temporarily disrupt the team dynamics and won’t immediately improve velocity.,Inspect and adapt their process during the Sprint Retrospective.,Correct: Retrospectives are key opportunities to identify and implement improvements.,Ensure that all Product Backlog items are well-refined and ready for Sprint Planning.,Correct: A well-refined backlog helps the team understand and commit to work that they can complete.,Increase working hours to fit more work into the Sprint.,Incorrect: Sustainable pace is crucial; overworking can lead to burnout.,Improve collaboration and communication within the team.,Correct: Better collaboration can lead to more effective work and improved velocity.,,,"1,3,5"
Which two actions can help a Scrum Team improve their handling of technical debt? (Choose the two best answers),"Incorporating technical debt into the Definition of Done and conducting regular code reviews help Scrum Teams manage technical debt effectively, maintaining product quality. <i>Technical debt management ensures sustainable product quality.</i> (Scrum Guide 2020)",M,PSM-I,Concepts,Including technical debt tasks only when all other Sprint work is completed.,"Incorrect: Technical debt should be managed continuously, not deferred until the end of Sprints.",Incorporating technical debt resolution into the Definition of Done.,Correct: Integrating technical debt into the Definition of Done ensures it is consistently addressed as part of the team's regular work.,Conducting regular code reviews to identify and resolve areas contributing to technical debt.,Correct: Regular code reviews help catch issues early and manage technical debt proactively.,Ignoring technical debt in favor of focusing solely on new feature development.,Incorrect: Ignoring technical debt leads to a decrease in product quality and maintainability over time.,Assigning technical debt tasks to a specific team member responsible for clean-up.,Incorrect: Technical debt management should be a shared responsibility within the team.,,,"2,3"
A Scrum Team consistently delivers increments that fail to meet stakeholder expectations. What should the Scrum Master do to address this issue? (Choose the best answer),"The Scrum Master should facilitate a review of the Definition of Done and acceptance criteria to ensure that the team’s work aligns with stakeholder expectations and delivers value. <i>The Scrum Team is responsible for all product development work, including ensuring quality meets stakeholder needs.</i> (Scrum Guide 2020)",S,PSM-I,Concepts,Encourage the team to work faster and harder to meet expectations.,Incorrect: Working faster without addressing root causes can lead to poor quality and further dissatisfaction.,Facilitate a collaborative review of the Definition of Done and acceptance criteria to ensure alignment with stakeholder needs.,Correct: Reviewing quality standards helps the team align their work with stakeholder expectations and deliver valuable increments.,Ask the Product Owner to lower stakeholder expectations to match the team’s output.,Incorrect: Reducing expectations does not address the need for improvement and alignment.,Ignore the feedback and focus on meeting internal team goals.,Incorrect: Stakeholder feedback is crucial for driving improvement and ensuring the product delivers value.,,,,,2
A Scrum Team frequently misses their Definition of Done due to last-minute testing issues. How should the Scrum Master address this? (Choose the best answer),"The Scrum Master should facilitate a discussion on integrating testing earlier in the process, helping the team consistently meet the Definition of Done. <i>The Definition of Done helps ensure that quality standards are met.</i> (Scrum Guide 2020)",S,PSM-I,Concepts,Extend the Sprint to allow more time for testing and fixing issues.,Incorrect: Extending Sprints disrupts the Scrum cadence and is not allowed.,Facilitate a discussion on integrating testing earlier in the development process to catch issues sooner.,Correct: Early integration of testing helps the team meet the Definition of Done consistently.,Assign a dedicated tester to the team to handle all testing tasks.,Incorrect: Scrum promotes cross-functional teams; assigning dedicated roles is not a preferred approach.,Ignore the issue as testing challenges are part of software development.,Incorrect: Ignoring recurring issues prevents continuous improvement and may affect product quality.,,,,,2
"A Scrum Team is struggling with integrating testing into their development process, leading to delays. What should the Scrum Master do? (Choose the best answer)",The Scrum Master should facilitate discussions on integrating testing early in the development process to help the team meet quality standards consistently. <i>Testing is an integral part of the Definition of Done.</i> (Scrum Guide 2020),S,PSM-I,Concepts,Assign a dedicated tester to handle all testing tasks for the team.,Incorrect: Assigning a dedicated role undermines the cross-functional nature of the team.,"Facilitate a discussion on how to integrate testing earlier in the development process, such as through Test-Driven Development (TDD) or pairing.",Correct: Early integration of testing helps the team deliver increments that meet quality standards consistently.,Ignore the issue and allow the team to manage testing as they see fit.,Incorrect: The Scrum Master should support the team in improving their processes to avoid recurring delays.,Ask the Product Owner to reduce the quality expectations to speed up testing.,Incorrect: Reducing quality compromises the integrity of the product and is not a sustainable solution.,,,,,2
"During the Sprint Retrospective, the team identifies that they frequently miss their Definition of Done. What should the Scrum Master suggest? (Choose the best answer)",The Scrum Master should facilitate discussions to help the team improve their processes and consistently meet the Definition of Done. <i>The Definition of Done creates transparency by providing everyone a shared understanding of what work was completed.</i> (Scrum Guide 2020),S,PSM-I,Concepts,Lower the Definition of Done standards to make it more achievable.,Incorrect: Lowering standards undermines quality and goes against Scrum principles.,Facilitate a discussion to help the team improve their processes and skills to consistently meet the Definition of Done.,Correct: The Scrum Master helps the team improve their processes to meet quality standards consistently.,Ignore the issue if the work is mostly done.,Incorrect: Meeting the Definition of Done is essential for ensuring quality and usability of the Increment.,Ask the Product Owner to accept incomplete work temporarily.,Incorrect: The Product Owner should not accept incomplete work; all work must meet the Definition of Done.,,,,,2
How should the Developers handle non-functional requirements? (Choose the best answer),"Non-functional requirements are treated as Product Backlog items and must be addressed during the Sprint like any other work. This approach ensures that quality is maintained throughout the development process. <i>The Scrum Team ensures quality by adhering to the Definition of Done and addressing all requirements, both functional and non-functional.</i> (Scrum Guide 2020)",S,PSM-I,Concepts,Include them in the Product Backlog and address them like any other item.,Correct: Non-functional requirements should be included and prioritized in the Product Backlog.,Ignore them as they are not a primary focus in Scrum.,Incorrect: Non-functional requirements are crucial for the quality of the product.,Handle them during a special hardening Sprint before release.,Incorrect: Scrum does not endorse special hardening Sprints; quality should be built in every Sprint.,Assign them to a specialist outside the team.,"Incorrect: All work, including non-functional requirements, is managed by the Developers within the team.",,,,,1
What is the best way for a Scrum Team to handle technical spikes that are required to explore new technologies? (Choose the best answer),"Including technical spikes in the Product Backlog and planning them in Sprints ensures they are managed transparently and contribute to informed decision-making. <i>Product Backlog refinement is the act of adding detail, estimates, and order to items in the Product Backlog.</i> (Scrum Guide 2020)",S,PSM-I,Concepts,Include the technical spike as a Product Backlog item and plan it as part of the Sprint.,Correct: Planning technical spikes as part of the Sprint allows the team to allocate time for exploration without compromising other work.,Avoid doing technical spikes to prevent disruption to planned tasks.,Incorrect: Technical spikes are necessary to gain insights and make informed decisions about new technologies.,Ask the Product Owner to handle technical spikes separately from the Scrum Team’s work.,Incorrect: The Developers are responsible for managing technical aspects and need to conduct spikes themselves.,Conduct spikes informally without tracking them in the Sprint Backlog.,Incorrect: Untracked work can disrupt Sprint focus and makes it hard to measure impact and progress.,,,,,1
Which actions can a Scrum Master take to help the Developers manage high technical debt? (Choose the best answer),"The Scrum Master can facilitate discussions during backlog refinement to help the team prioritize technical debt, ensuring it is managed alongside new feature development. <i>Scrum Teams ensure quality by addressing technical debt as part of their work.</i> (Scrum Guide 2020)",S,PSM-I,Concepts,Encourage the team to ignore technical debt and focus on new features.,Incorrect: Ignoring technical debt can lead to bigger problems and lower product quality.,Facilitate discussions on addressing technical debt during Product Backlog Refinement.,Correct: Facilitating discussions helps the team prioritize technical debt alongside new work.,Assign specific Developers to handle all technical debt items.,"Incorrect: The team should collectively manage technical debt, not delegate it to specific individuals.",Remove all technical debt items from the Product Backlog to simplify planning.,Incorrect: Technical debt needs to be visible in the backlog to be managed effectively.,,,,,2
True or False: The Product Owner is accountable for maximizing the value of the product resulting from the work of the Scrum Team. (Choose the best answer),The Product Owner is responsible for maximizing product value by managing the Product Backlog effectively. <i>The Product Owner is accountable for maximizing the value of the product resulting from the work of the Scrum Team.</i> (Scrum Guide 2020),TF,PSM-I,Roles and Responsibilities,,Correct: The Product Owner’s primary accountability is to maximize the product’s value through effective backlog management.,,Incorrect: The Product Owner is directly accountable for the value delivered by the Scrum Team.,,,,,,,,,true
True or False: The Scrum Master is responsible for ensuring the team meets their Definition of Done. (Choose the best answer),The Scrum Master supports the team in meeting their Definition of Done but does not enforce it; the responsibility lies with the Developers. <i>The Scrum Master helps the Scrum Team improve its practices within the Scrum framework.</i> (Scrum Guide 2020),TF,PSM-I,Roles and Responsibilities,,Incorrect: The Scrum Master facilitates but does not enforce the Definition of Done; the team is collectively responsible.,,"Correct: The Developers are responsible for meeting the Definition of Done, with the Scrum Master supporting them by fostering good practices.",,,,,,,,,false
