title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
True or False: The Scrum Master is responsible for creating the Definition of Done for the team. (Choose the best answer),"The Scrum Team is collectively responsible for creating the Definition of Done, with the Scrum Master facilitating the process. <i>The Definition of Done creates transparency by providing everyone a shared understanding of what work was completed.</i> (Scrum Guide 2020)",TF,PSM-I,Concepts,,"Incorrect: The Definition of Done is created collaboratively by the Scrum Team, not solely by the Scrum Master.",,"Correct: The Scrum Team collectively defines the Definition of Done, with the Scrum Master facilitating the process.",,,,,,,,,false
True or False: The Definition of Done is used to establish the minimum quality standard that each Increment must meet before it is considered complete. (Choose the best answer),"The Definition of Done sets the minimum quality standards for each Increment, ensuring that all completed work meets the agreed criteria. <i>The Definition of Done creates transparency by providing everyone a shared understanding of what work was completed.</i> (Scrum Guide 2020)",TF,PSM-I,Concepts,,Correct: The Definition of Done ensures that each Increment meets the agreed-upon quality standards and is usable.,,Incorrect: The Definition of Done defines the criteria that each Increment must meet to be considered complete.,,,,,,,,,true
Which three pillars of Scrum help ensure continuous improvement within the team? (Choose the three best answers),"The three pillars of Scrum—Transparency, Inspection, and Adaptation—are essential to ensuring continuous improvement, allowing the team to inspect and adapt their work processes regularly. <i>These pillars are critical to Scrum’s success.</i> (Scrum Guide 2020)",M,PSM-I,Concepts,Transparency,"Correct: Transparency ensures that every aspect of the process is visible to those responsible, enabling informed decisions.",Commitment,"Incorrect: Commitment is a value, not a pillar, and does not directly ensure continuous improvement.",Inspection,"Correct: Inspection allows the team to regularly check their work and processes, identifying areas for improvement.",Adaptation,Correct: Adaptation enables the team to make adjustments to their process based on what they learn from inspections.,Respect,"Incorrect: Respect is a value, not a pillar, though it supports a healthy team environment.",,,"1,3,4"
How should the Scrum Master handle a situation where the Developers frequently miss deadlines? (Choose the best answer),The Scrum Master should facilitate the Sprint Retrospective to help the team identify why they are missing deadlines and collaboratively create a plan to improve. <i>The Sprint Retrospective is an opportunity for the Scrum Team to inspect itself and create a plan for improvements to be enacted during the next Sprint.</i> (Scrum Guide 2020),S,PSM-I,Scrum Events,Extend the deadlines to give the team more time.,Incorrect: Extending deadlines undermines the time-boxing principles of Scrum.,Facilitate a Retrospective to help the team identify root causes and create an improvement plan.,Correct: The Retrospective is an opportunity for the team to reflect on missed deadlines and make plans to improve future performance.,Report the issue to management for intervention.,"Incorrect: The Scrum Master should help the team improve their process internally, not escalate to management.",Assign new tasks to different team members to ensure they are completed on time.,Incorrect: The Developers are self-managing and should decide how to organize their own work.,,,,,2
"During a Sprint, the Product Owner requests changes to the Sprint Backlog that could impact the Sprint Goal. How should the Scrum Team respond? (Choose the best answer)","The Scrum Team should evaluate the impact of the requested changes on the Sprint Goal, making collaborative decisions to maintain focus and alignment with the Sprint objectives. <i>The Sprint Goal is the single objective for the Sprint, providing guidance to the Developers on why they are building the Increment.</i> (Scrum Guide 2020)",S,PSM-I,Scrum Events,Implement the changes immediately to accommodate the Product Owner’s request.,Incorrect: Changes that impact the Sprint Goal should be carefully evaluated and not made impulsively.,Discuss the requested changes with the Scrum Team to assess their impact on the Sprint Goal.,Correct: The team should evaluate the impact of the changes collaboratively before making any decisions.,Ignore the request and focus on the current Sprint Backlog.,Incorrect: The team should consider feedback but ensure changes do not compromise the Sprint Goal.,Extend the Sprint duration to accommodate the changes.,Incorrect: Sprints are time-boxed and should not be extended.,,,,,2
A Developer suggests using a new tool that could improve the team's workflow. What is the best approach for the Scrum Team? (Choose the best answer),"The Sprint Retrospective is the right place to discuss potential workflow improvements, allowing the team to collectively decide on adopting new tools or processes. <i>The Sprint Retrospective concludes the Sprint. It is an opportunity for the Scrum Team to inspect itself and create a plan for improvements to be enacted during the next Sprint.</i> (Scrum Guide 2020)",S,PSM-I,Scrum Events,Implement the tool immediately to take advantage of its benefits.,Incorrect: Any changes to the workflow should be discussed and agreed upon by the team.,Discuss the tool in the next Sprint Retrospective to decide if it should be adopted.,Correct: The Retrospective is the best time to discuss potential improvements and decide on changes to the team's workflow.,Ask the Scrum Master to decide if the tool should be used.,"Incorrect: The decision should be made collaboratively by the team, not dictated by the Scrum Master.",Ignore the suggestion to avoid disrupting the current process.,Incorrect: Improvements should be considered to enhance team effectiveness.,,,,,2
Which three strategies can help a Scrum Team maintain a sustainable pace? (Choose the three best answers),"Maintaining a sustainable pace involves setting realistic Sprint Goals, inspecting and adapting through Retrospectives, and prioritizing high-value work, ensuring the team can continue delivering effectively. <i>The Scrum framework is grounded in empiricism and lean thinking, emphasizing continuous improvement.</i> (Scrum Guide 2020)",M,PSM-I,Concepts,Setting realistic Sprint Goals that reflect the team’s capacity.,Correct: Realistic Sprint Goals help the team maintain a sustainable pace and avoid overcommitment.,Extending work hours during busy periods.,Incorrect: Overworking can lead to burnout and does not align with maintaining a sustainable pace.,Inspecting and adapting during Retrospectives to improve workflow.,Correct: Retrospectives help the team continuously improve their process and pace.,Prioritizing high-value work to focus on what matters most.,Correct: Focusing on high-value items ensures the team delivers meaningful work without unnecessary strain.,Skipping Daily Scrums to save time.,Incorrect: Daily Scrums are essential for team alignment and should not be skipped.,,,"1,3,4"
How should the Scrum Master handle repeated conflicts between Developers during the Daily Scrum? (Choose the best answer),"The Scrum Master should facilitate a separate discussion to address conflicts among Developers, ensuring that the Daily Scrum remains focused and productive. <i>The Scrum Master serves the Scrum Team in several ways, including facilitating Scrum events as requested or needed.</i> (Scrum Guide 2020)",S,PSM-I,Roles and Responsibilities,Allow the conflicts to continue to see if the team resolves them independently.,Incorrect: The Scrum Master should intervene to facilitate conflict resolution when it disrupts team dynamics.,Facilitate a separate discussion outside of the Daily Scrum to address the conflicts.,Correct: The Scrum Master should facilitate discussions outside of the Daily Scrum to resolve conflicts without disrupting the event.,Report the conflicts to management for resolution.,"Incorrect: Conflicts should be managed within the team, with the Scrum Master’s facilitation, not escalated externally.",Assign roles to team members to prevent further conflicts.,"Incorrect: The team should self-organize, and roles should not be imposed by the Scrum Master.",,,,,2
"The Product Owner is often unavailable during important Scrum events, causing delays in decision-making. What should the Scrum Master do? (Choose the best answer)","The Scrum Master should coach the Product Owner on their role and the importance of being available for key Scrum events, ensuring effective collaboration and decision-making. <i>The Scrum Master helps the Scrum Team understand the need for clear and concise Product Backlog items.</i> (Scrum Guide 2020)",S,PSM-I,Roles and Responsibilities,Take over the Product Owner’s responsibilities during their absence.,Incorrect: The Scrum Master does not take over other roles but supports them in fulfilling their responsibilities.,Coach the Product Owner on the importance of attending Scrum events and engaging with the team.,Correct: The Scrum Master should coach the Product Owner to ensure they understand their role in Scrum events and decision-making.,Allow the team to proceed without the Product Owner’s input.,Incorrect: The Product Owner’s input is essential for guiding the work and making informed decisions.,Adjust the event schedule to accommodate the Product Owner’s availability.,"Incorrect: Events should be consistent and predictable, not adjusted ad hoc to fit individual schedules.",,,,,2
Which two strategies can help a Scrum Team maintain focus during the Daily Scrum? (Choose the two best answers),Encouraging concise updates and using a rotating facilitator help the Scrum Team maintain focus and engagement during the Daily Scrum. <i>The Daily Scrum is a 15-minute event for the Developers of the Scrum Team.</i> (Scrum Guide 2020),M,PSM-I,Scrum Events,Allowing each team member unlimited time to share their updates.,Incorrect: The Daily Scrum should be time-boxed to 15 minutes to maintain focus and efficiency.,"Encouraging concise updates focused on progress toward the Sprint Goal, impediments, and plans for the next 24 hours.",Correct: Keeping updates concise helps the team stay focused on the key aspects of the Daily Scrum.,Using a rotating facilitator to keep the team engaged and on track during the meeting.,Correct: A rotating facilitator can bring variety and maintain engagement while keeping the meeting structured.,Skipping the Daily Scrum on days when there are no critical updates.,Incorrect: The Daily Scrum should be held consistently to maintain alignment and communication.,Focusing discussions solely on individual performance rather than team progress.,"Incorrect: The Daily Scrum should focus on team progress and how to achieve the Sprint Goal, not individual performance.",,,"2,3"
