title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
"The Product Owner is frequently unclear about the team’s progress towards the Sprint Goal, causing confusion during Sprint Review. How can the Scrum Master help improve this situation? (Choose the three best answers)","The Scrum Master should encourage the Product Owner to attend Daily Scrums, facilitate discussions to align on progress, and coach the Product Owner on effective progress tracking methods. This ensures transparency without causing unnecessary disruptions. <i>'The Scrum Master helps the Scrum Team understand Scrum theory and practice.' (Scrum Guide 2020, p. 6)</i>",M,PSM-II,Team Facilitation and Coaching,Encourage the Product Owner to attend Daily Scrums to stay informed about progress.,Correct: The Scrum Master should encourage the Product Owner to attend Daily Scrums to stay updated on progress.,Facilitate a discussion between the Product Owner and the team to ensure alignment on progress tracking.,Correct: The Scrum Master should facilitate discussions to improve alignment between the team and the Product Owner.,Assign a team member to provide daily updates to the Product Owner.,Incorrect: The Scrum Master should not assign roles; the team is self-organizing.,Coach the Product Owner on effective ways to track progress without disrupting the team.,Correct: The Scrum Master should coach the Product Owner on how to track progress effectively without causing disruptions.,Allow the Product Owner to adjust the Sprint Backlog mid-Sprint based on their perception of progress.,Incorrect: Adjusting the Sprint Backlog mid-Sprint without alignment can disrupt the team’s focus on the Sprint Goal.,,,"1,2,4"
What are three pillars of Scrum that support its empirical process? (Choose the three best answers),"The three pillars of Scrum are transparency, inspection, and adaptation, which support its empirical approach to work. <i>'Scrum is founded on empiricism and lean thinking.' (Scrum Guide 2020, p. 3)</i>",M,PSM-II,Understanding Scrum Fundamentals,"Control, allowing the Product Owner to manage all aspects of the product development process.",Incorrect: Scrum emphasizes collaboration and flexibility rather than control by one individual.,"Transparency, ensuring that everyone involved can see and understand the work being done.",Correct: Transparency is one of the key pillars that allows Scrum to function effectively.,"Inspection, allowing the team to regularly assess progress and adapt as needed.",Correct: Inspection ensures that the team can assess its progress and make necessary adjustments.,"Adaptation, enabling the team to adjust based on what is learned during regular inspections.",Correct: Adaptation is critical for improving processes and products based on inspection.,"Planning, ensuring that all work is pre-planned to minimize uncertainty.","Incorrect: While planning is important, Scrum promotes responding to change over following a strict plan.",,,"2,3,4"
Which two approaches can the Scrum Master take to help the Product Owner manage stakeholder engagement effectively? (Choose the two best answers),"Gathering feedback during the Sprint Review and facilitating regular stakeholder meetings help the Product Owner manage engagement effectively. <i>'The Scrum Master helps the Product Owner engage stakeholders effectively.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Collaboration with Stakeholders,Ensuring that stakeholders have constant access to the team to provide input at any time.,"Incorrect: Stakeholders should primarily provide input during formal events like Sprint Reviews, not constantly.",Encouraging the Product Owner to gather stakeholder feedback during the Sprint Review and adjust the Product Backlog accordingly.,Correct: The Sprint Review is an appropriate event for gathering feedback and adjusting priorities.,Facilitating stakeholder collaboration by scheduling regular meetings between stakeholders and the Product Owner.,Correct: Regular meetings between stakeholders and the Product Owner can help maintain alignment and engagement.,Encouraging stakeholders to provide feedback on a daily basis to ensure alignment.,"Incorrect: Feedback should be gathered at appropriate intervals, primarily during Sprint Reviews, not daily.",Asking the Development Team to review and address stakeholder concerns directly.,"Incorrect: Stakeholders should communicate with the Product Owner, not directly with the Development Team.",,,"2,3"
Which two practices best support continuous improvement in a Scrum Team? (Choose the two best answers),"Conducting Sprint Retrospectives and encouraging open feedback help teams identify problems and continuously improve their processes. <i>'The Scrum Team inspects itself to plan ways to increase quality and effectiveness.' (Scrum Guide 2020, p. 11)</i>",M,PSM-II,Continuous Improvement and Problem Solving,Focusing solely on increasing velocity each Sprint.,Incorrect: Increasing velocity is not the sole indicator of improvement; the focus should be on value and quality.,Conducting regular Sprint Retrospectives to inspect and adapt.,Correct: Sprint Retrospectives allow the team to reflect on their process and identify areas for improvement.,Delaying process improvements until a major issue arises.,"Incorrect: Continuous improvement should be ongoing and proactive, not reactive.",Encouraging team members to share feedback and suggestions openly.,Correct: Open feedback enables the team to collaborate on solutions and improve.,Focusing only on the Product Owner’s feedback for improvements.,"Incorrect: Feedback should come from the entire team, not just the Product Owner.",,,"2,4"
What are two key challenges when scaling Scrum to multiple teams working on the same product? (Choose the two best answers),"Using a single Product Backlog and a common Definition of Done are key challenges when scaling Scrum across multiple teams. <i>'A single Product Backlog and a shared Definition of Done are crucial for multi-team environments.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Scrum in Complex Environments,Ensuring that all teams work from the same Product Backlog to maintain alignment.,Correct: A single Product Backlog is crucial for ensuring alignment across all teams working on the same product.,Managing the different velocities of each team to ensure they deliver at the same pace.,"Incorrect: Teams may have different velocities, but alignment should focus on product delivery, not matching speeds.",Ensuring that teams share a common Definition of Done to maintain quality across the product.,Correct: A common Definition of Done ensures consistency in the quality of work across all teams.,Having separate Product Owners for each team to manage their own work.,Incorrect: A single Product Owner manages the entire Product Backlog for the product.,Avoiding coordination between teams to prevent delays.,Incorrect: Coordination is essential when multiple teams are working on the same product to avoid duplication and missed dependencies.,,,"1,3"
What are three important responsibilities of a Scrum Master in a multi-team Scrum environment? (Choose the three best answers),"The Scrum Master facilitates Scrum of Scrums, helps resolve dependencies, and coaches teams to collaborate effectively in a multi-team environment. <i>'The Scrum Master facilitates cross-team collaboration to ensure alignment on product goals.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Scrum in Complex Environments,Facilitating coordination between teams by organizing Scrum of Scrums meetings.,Correct: The Scrum Master helps facilitate cross-team coordination through events like Scrum of Scrums.,Assigning work to teams based on their capacity and expertise.,Incorrect: The Scrum Master does not assign work; teams are self-organizing and decide how to handle their work.,Helping teams resolve cross-team dependencies and remove impediments.,Correct: The Scrum Master plays a critical role in helping teams resolve dependencies and remove obstacles that impede progress.,Ensuring that each team follows the same Sprint cadence.,"Incorrect: While alignment in cadence can be helpful, it is not always necessary or managed by the Scrum Master.",Coaching teams to collaborate effectively with one another and align on product goals.,Correct: Coaching teams to collaborate and align on goals is essential in a multi-team environment.,,,"1,3,5"
"True or False: Scrum can be adapted to any kind of project, including both software development and non-technical projects.","Scrum is a flexible framework designed to address complexity in any environment, whether it involves software development or non-technical fields like marketing or education. <i>'Scrum is founded on empiricism and lean thinking.' (Scrum Guide 2020, p. 3)</i>",TF,PSM-II,Understanding Scrum Fundamentals,,"Correct: Scrum is a framework that can be applied to any complex problem-solving environment, whether technical or non-technical.",,"Incorrect: Scrum is versatile and can be applied to various types of projects, including software development, marketing, and more.",,,,,,,,,true
True or False: The Scrum Master’s role includes shielding the Development Team from external pressure and distractions that may affect their focus.,"The Scrum Master protects the team from external distractions and pressures, enabling them to focus on achieving the Sprint Goal. <i>'The Scrum Master helps those outside the Scrum Team understand which of their interactions with the Scrum Team are helpful and which aren’t.' (Scrum Guide 2020, p. 7)</i>",TF,PSM-II,Leadership and Influence,,"Correct: The Scrum Master protects the team from external disruptions, allowing them to focus on delivering high-value work.",,Incorrect: The Scrum Master must shield the team from distractions to maintain their focus on the Sprint Goal.,,,,,,,,,true
"A Scrum Team consistently fails to meet its Sprint Goals, and morale is beginning to suffer as a result. The Product Owner is concerned about the team’s ability to deliver value. What should the Scrum Master do to help?","The Scrum Master should facilitate a Retrospective to help the team reflect on their challenges and coach them on how to improve their performance. <i>'The Scrum Master helps the team improve and meet its commitments by facilitating effective Retrospectives.' (Scrum Guide 2020, p. 13)</i>",S,PSM-II,Team Facilitation and Coaching,Facilitate a Sprint Retrospective to identify the root causes of the team’s difficulties and coach them on how to overcome these challenges.,Correct: The Scrum Master should help the team reflect on their performance and coach them on addressing the issues that are preventing them from meeting their goals.,Encourage the team to lower their expectations for future Sprints to ensure they can meet their goals.,Incorrect: The Scrum Master should focus on helping the team overcome challenges rather than lowering expectations.,Ask the Product Owner to reduce the scope of future Sprint Goals to make them more achievable.,Incorrect: The Scrum Master should help the team improve their performance rather than simply reducing the scope of the goals.,Advise the team to work harder and increase their velocity in order to meet future Sprint Goals.,"Incorrect: The Scrum Master should focus on coaching the team on how to work more effectively, not just on increasing velocity.",,,,,1
"During a Sprint, a Scrum Team member consistently misses deadlines, causing delays for the rest of the team. The team has raised the issue multiple times, but no improvement has been made. How should the Scrum Master address this situation?","The Scrum Master should facilitate a coaching session to help the team member improve their time management and ensure the team's overall performance improves. <i>'The Scrum Master serves the Scrum Team by coaching team members in self-management.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Team Facilitation and Coaching,Facilitate a one-on-one coaching session with the team member to understand their challenges and help them improve their time management.,Correct: The Scrum Master should provide coaching to the individual to help them improve performance and support the team.,Encourage the team to continue raising the issue in Daily Scrums until the team member improves.,Incorrect: Raising the issue repeatedly without coaching or support may not lead to improvement.,Ask the Product Owner to remove the team member from the project due to their lack of performance.,Incorrect: The Scrum Master should first attempt to provide coaching and support before taking any drastic measures.,Advise the team to redistribute the team member’s work to reduce the impact on the Sprint Goal.,Incorrect: Redistributing work does not solve the underlying issue of the team member’s performance and may lead to further problems.,,,,,1
