title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
What are three ways the Scrum Team can ensure stakeholder engagement during a project? (Choose the three best answers),"Holding Sprint Reviews, maintaining a transparent Product Backlog, and providing regular updates ensure effective stakeholder engagement. <i>'The Scrum Team works to ensure stakeholder needs and feedback are considered throughout the project.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Collaboration with Stakeholders,Allow stakeholders to participate in the Daily Scrum to track progress.,"Incorrect: The Daily Scrum is for the Development Team, not stakeholders.",Hold regular Sprint Reviews to demonstrate the Increment and gather stakeholder feedback.,Correct: Sprint Reviews are the primary event where stakeholders engage with the team and provide feedback.,Maintain an open and transparent Product Backlog that stakeholders can review regularly.,Correct: A transparent Product Backlog ensures stakeholders can stay informed and engaged with the team's progress.,Provide stakeholders with regular updates on the team's work and progress.,Correct: Regular updates help stakeholders stay informed and involved throughout the project.,Encourage stakeholders to assign tasks to the Development Team during the Sprint Planning session.,Incorrect: The Development Team is self-organizing and decides how to approach the work in Sprint Planning.,,,"2,3,4"
What are three ways to ensure consistent quality across multiple Scrum Teams working on the same product? (Choose the three best answers),"A shared Definition of Done, joint Sprint Reviews, and regular cross-team communication are crucial for maintaining consistent quality across teams. <i>'A common Definition of Done helps ensure consistent quality across multiple teams.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Scrum in Complex Environments,Allow each team to define their own quality standards based on their expertise.,Incorrect: Teams working on the same product should share a Definition of Done to ensure consistent quality.,Establish a shared Definition of Done that applies to all teams working on the product.,Correct: A shared Definition of Done ensures that all teams deliver increments of the same quality.,Hold joint Sprint Reviews to provide stakeholders with a comprehensive view of the product.,Correct: Joint Sprint Reviews help stakeholders inspect the overall progress and ensure consistent product quality.,Ensure that all teams have separate Sprint Goals to maintain flexibility in their work.,"Incorrect: While teams may have individual Sprint Goals, coordination is required to ensure alignment on the product.",Facilitate regular cross-team communication to align on quality expectations and standards.,Correct: Regular communication between teams ensures that quality standards are understood and maintained.,,,"2,3,5"
Which two actions can a Scrum Master take to address conflicting stakeholder requests effectively? (Choose the two best answers),"Facilitating discussions and encouraging regular communication help address and prevent conflicting stakeholder requests. <i>'The Scrum Master helps the Product Owner ensure collaboration and alignment among stakeholders.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Collaboration with Stakeholders,Escalating the conflict to senior management to resolve the differences.,"Incorrect: Conflicts should be handled within the Scrum Team, not escalated to management unless absolutely necessary.",Helping the Product Owner facilitate discussions between stakeholders to clarify priorities and align their expectations.,Correct: Facilitating discussions between stakeholders helps resolve conflicts and ensures alignment on priorities.,Encouraging stakeholders to collaborate directly with the Development Team to clarify their requirements.,"Incorrect: Stakeholders should communicate with the Product Owner, not directly with the Development Team.",Ensuring that conflicting requests are added to the Product Backlog and prioritized for future Sprints.,"Incorrect: The Product Owner should prioritize requests based on stakeholder alignment, not simply add conflicting ones to the backlog.",Encouraging the Product Owner to engage stakeholders in regular discussions to avoid conflicting requests in the future.,Correct: Regular communication helps prevent conflicting requests and ensures ongoing alignment between stakeholders.,,,"2,5"
What are the two main responsibilities of a Scrum Master in promoting transparency in Scrum? (Choose the two best answers),"Time-boxing events and ensuring Product Backlog transparency are key responsibilities of the Scrum Master to promote transparency. <i>'Scrum Masters serve by helping ensure that goals, scope, and product domain are clear to everyone.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Leadership and Influence,Ensuring that all Scrum events are time-boxed and held regularly.,Correct: Time-boxed Scrum events increase transparency by ensuring consistent inspection and adaptation.,Taking responsibility for documenting the team's progress during the Sprint.,Incorrect: The Development Team is responsible for their own progress tracking.,Ensuring that the Product Backlog is visible and understandable to stakeholders.,Correct: The Scrum Master helps the Product Owner keep the Product Backlog transparent and visible to all stakeholders.,Making sure the Development Team provides regular updates to stakeholders during the Sprint.,"Incorrect: Communication with stakeholders primarily happens through the Product Owner, not directly from the Development Team.",Allowing stakeholders to attend the Daily Scrum to observe the team’s progress.,"Incorrect: The Daily Scrum is for the Development Team, not stakeholders.",,,"1,3"
Which two principles of Scrum help ensure continuous improvement within the Scrum Team? (Choose the two best answers),"Continuous improvement is promoted through regular inspection during Retrospectives and feedback-driven adjustments to the Product Backlog. <i>'The Scrum Team continuously improves its process through the Sprint Retrospective.' (Scrum Guide 2020, p. 11)</i>",M,PSM-II,Understanding Scrum Fundamentals,The Scrum Master enforces changes to ensure improvement in team processes.,Incorrect: The Scrum Master facilitates but does not enforce changes; the team adapts collaboratively.,The Scrum Team inspects and adapts its process during the Sprint Retrospective.,Correct: The Retrospective allows the Scrum Team to inspect and adapt their processes to improve continuously.,The Scrum Team uses daily feedback to adjust the Sprint Goal if necessary.,"Incorrect: The Sprint Goal is fixed during the Sprint, though daily feedback helps the team adapt their work toward the goal.",The Product Owner adjusts priorities based on feedback from stakeholders during the Sprint Review.,Correct: Feedback during the Sprint Review allows the Product Owner to refine and adjust the Product Backlog for future Sprints.,The Scrum Master defines the improvements needed for the team’s performance.,Incorrect: The Scrum Team collectively defines and implements improvements; the Scrum Master facilitates.,,,"2,4"
What are three benefits of involving stakeholders in Sprint Reviews? (Choose the three best answers),"Providing feedback, inspecting the Increment, and ensuring alignment are key benefits of stakeholder involvement in Sprint Reviews. <i>'The Sprint Review is held at the end of the Sprint to inspect the Increment and adapt the Product Backlog if needed.' (Scrum Guide 2020, p. 10)</i>",M,PSM-II,Collaboration with Stakeholders,It allows stakeholders to directly control the team’s work for the next Sprint.,Incorrect: Stakeholders provide feedback during Sprint Reviews but do not control the work for the next Sprint.,"Stakeholders can provide feedback on the Increment, helping to shape future development.",Correct: Feedback during Sprint Reviews helps the Scrum Team adjust future development to meet stakeholder needs.,Stakeholders can inspect the progress made during the Sprint and understand the current state of the product.,Correct: Sprint Reviews provide transparency to stakeholders on the team’s progress and product development.,It ensures stakeholders are aligned with the Scrum Team on the product’s progress and direction.,Correct: The Sprint Review helps ensure that stakeholders are aligned with the team’s vision and goals.,It prevents the need for stakeholders to communicate with the Product Owner between Sprints.,Incorrect: Ongoing communication with the Product Owner remains important between Sprints.,,,"2,3,4"
True or False: The Sprint Retrospective focuses exclusively on improving the Development Team’s technical skills.,"The Sprint Retrospective is an event to reflect on how the Scrum Team can improve, covering all aspects of teamwork and processes, not just technical abilities. <i>'The Scrum Team discusses what went well during the Sprint, what problems it encountered, and how those problems were (or were not) solved.' (Scrum Guide 2020, p. 11)</i>",TF,PSM-II,Understanding Scrum Fundamentals,,"Incorrect: The Sprint Retrospective covers all aspects of how the Scrum Team collaborates and works, not just technical skills.",,"Correct: The Sprint Retrospective is a broader event where the team reflects on all areas of collaboration, processes, and skills, not just technical competencies.",,,,,,,,,false
True or False: The Scrum Master is responsible for making technical decisions for the Development Team when they are unable to agree on a solution.,"The Scrum Master’s role is to facilitate communication and ensure the team collaborates effectively. <i>'The Scrum Master helps the Scrum Team improve its practices within the Scrum framework.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Team Facilitation and Coaching,False,"Correct: The Scrum Master does not make technical decisions. The Scrum Team is self-managing, and the Scrum Master facilitates collaboration to help them find solutions.",True,Incorrect: The Scrum Master facilitates but does not make technical decisions for the team.,,,,,,,,,1
A Scrum Team is often distracted by external requests from stakeholders that are not part of the Sprint Goal. This leads to the team struggling to complete their Sprint commitments. How should the Scrum Master help?,"The Scrum Master should coach the team to focus on the Sprint Goal and handle external requests through the Product Owner. <i>'The Scrum Master helps the team focus on creating high-value Increments that meet the Sprint Goal.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Team Facilitation and Coaching,Coach the team on maintaining focus on the Sprint Goal and encourage them to handle external requests through the Product Owner.,Correct: The Scrum Master should coach the team to direct external requests to the Product Owner and maintain focus on the Sprint Goal.,Encourage the team to handle the external requests when they seem urgent to keep stakeholders satisfied.,Incorrect: The team should prioritize the Sprint Goal and manage external requests through the Product Owner.,Advise the Product Owner to escalate the issue to senior management to prevent further interruptions.,"Incorrect: The Scrum Master should focus on helping the team and Product Owner manage stakeholder expectations, not escalate the issue.",Ask the team to reduce the scope of the Sprint to accommodate stakeholder requests more easily.,Incorrect: The Scrum Master should help the team maintain focus on the Sprint Goal rather than adjusting scope for external requests.,,,,,1
"During a Sprint, one team member often dominates the discussions during Daily Scrums, leaving others unable to share their updates. This is leading to frustration among the team. How should the Scrum Master address this?","The Scrum Master should privately coach the team member on the importance of allowing balanced participation in the Daily Scrum. <i>'The Scrum Master serves the Scrum Team by coaching team members in self-management and cross-functionality.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Team Facilitation and Coaching,Coach the team member privately about the importance of allowing everyone to contribute during the Daily Scrum.,Correct: The Scrum Master should coach the individual on the importance of balanced participation in team discussions.,Allow the team to handle the situation themselves since self-management is a core aspect of Scrum.,"Incorrect: While self-management is important, the Scrum Master should intervene if it impacts team dynamics and communication.",Ask the Product Owner to address the issue with the team to ensure better collaboration.,Incorrect: The Product Owner is not responsible for team dynamics; the Scrum Master should manage this.,Encourage the team to limit the length of the Daily Scrum to prevent lengthy discussions.,Incorrect: Limiting the time of the Daily Scrum doesn’t address the underlying issue of unbalanced participation.,,,,,1
